Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00479297384384433","-0,0298962958663082","0,093737933830018",0,0,0,"0,0549295413957237","1,86201527060156E-05","3,64817341857591E-20","1,02057543976793E-20","2,82071539567185E-05","3,7956447834542E-20","1,86201527060157E-05",0,0,0,0,0,0,package://gearland/meshes/base_link.STL,"0,768627450980392","0,207843137254902","0,152941176470588",1,0,0,0,0,0,0,package://gearland/meshes/base_link.STL,,BASE_URDF2.stp-1/montura1_ex1.stp-3;BASE_URDF2.stp-1/montura1_ex1.stp-2;BASE_URDF2.stp-1/montura1_ex1.stp-1;BASE_URDF2.stp-1/montura1_ex1.stp-4;BASE_URDF2.stp-1/Servo Wheel.stp-4;BASE_URDF2.stp-1/Servo Wheel.stp-1;BASE_URDF2.stp-1/Servo Wheel.stp-2;BASE_URDF2.stp-1/Servo Wheel.stp-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,"-0,0041068","-0,02975","-0,0082093",0,0,0,"0,041812","9,4641E-06","-8,5337E-07","-6,0045E-08","9,9336E-06","-1,3526E-07","6,1048E-06",0,0,0,0,0,0,package://gearland/meshes/link1.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link1.STL,,joint_superior_urdf.stp-3,Origin_joint18,Eje1,joint1,revolute,"0,13828","-0,13828","-0,032233","1,5708",0,"2,3562",base_link,0,0,1,200,3,"-1,05","1,05",,,,,,,,
link2,"-0,0049686","0,055486","0,030742",0,0,0,"0,016364","1,0763E-05","8,534E-09","-1,7034E-08","1,3073E-05","4,0005E-06","8,4248E-06",0,0,0,0,0,0,package://gearland/meshes/link2.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link2.STL,,efector_urdf.stp-3,Origin_joint23,Eje2,joint2,revolute,"-0,092382","-0,076994","-0,0051981","1,2457","-1,5708",0,link1,0,0,0,200,3,"-1,57","1,57",,,,,,,,
link3,"-0,032981","0,0040148","-0,0090437",0,0,0,"0,010524","1,7858E-06","6,8301E-08","-3,2504E-07","4,1445E-06","3,3344E-08","2,5138E-06",0,0,0,0,0,0,package://gearland/meshes/link3.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://gearland/meshes/link3.STL,,joint_inferior_urdf.stp-3,Origin_joint33,Eje3,joint3,revolute,"0,14945","-0,14945","-0,012533","1,5708","-1,0075","2,3562",base_link,0,0,-1,200,3,"-1,57","1,57",,,,,,,,
link4,"-0,0049686","0,055486","0,030742",0,0,0,"0,016364","1,0763E-05","8,534E-09","-1,7034E-08","1,3073E-05","4,0005E-06","8,4248E-06",0,0,0,0,0,0,package://gearland/meshes/link4.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link4.STL,,efector_urdf.stp-3,Origin_joint43,Eje4,joint4,revolute,"-0,12265","0,013123","-0,0051981","-3,009","-1,5708","0,7854",link3,0,0,0,200,3,"-1,57","1,57",,,,,,,,
link5,"-0,0041068","-0,02975","-0,048497",0,0,0,"0,041812","9,4641E-06","-8,5337E-07","-6,0045E-08","9,9336E-06","-1,3526E-07","6,1048E-06",0,0,0,0,0,0,package://gearland/meshes/link5.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link5.STL,,joint_superior_urdf.stp-4,Origin_joint53,Eje5,joint5,revolute,"0,082844","0,0062339","-0,032233","1,5708",0,"-2,3562",base_link,0,0,1,200,3,"-1,05","1,05",,,,,,,,
link6,"-0,0049686","0,055486","0,030742",0,0,0,"0,016364","1,0763E-05","8,534E-09","-1,7034E-08","1,3073E-05","4,0005E-06","8,4248E-06",0,0,0,0,0,0,package://gearland/meshes/link6.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link6.STL,,efector_urdf.stp-4,Origin_joint63,Eje6,joint6,revolute,"-0,092382","-0,076994","-0,045486","1,2457","-1,5708",0,link5,0,0,0,200,3,"-1,57","1,57",,,,,,,,
link7,"-0,032981","0,0040148","-0,041305",0,0,0,"0,010524","1,7858E-06","6,8301E-08","-3,2504E-07","4,1445E-06","3,3344E-08","2,5138E-06",0,0,0,0,0,0,package://gearland/meshes/link7.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://gearland/meshes/link7.STL,,joint_inferior_urdf.stp-4,Origin_joint73,Eje7,joint7,revolute,"0,099692","0,01173","-0,012533","1,5708","-1,0075","-2,3562",base_link,0,0,-1,200,3,"-1,57","1,57",,,,,,,,
link8,"-0,0049686","0,055486","0,030742",0,0,0,"0,016364","1,0763E-05","8,534E-09","-1,7034E-08","1,3073E-05","4,0005E-06","8,4248E-06",0,0,0,0,0,0,package://gearland/meshes/link8.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link8.STL,,efector_urdf.stp-4,Origin_joint83,Eje8,joint8,revolute,"-0,12265","0,013123","-0,037459","0,23815","-1,5708",0,link7,0,0,0,200,3,"-1,57","1,57",,,,,,,,
link9,"-0,0041068","-0,02975","0,036675",0,0,0,"0,041812","9,4641E-06","-8,5337E-07","-6,0045E-08","9,9336E-06","-1,3526E-07","6,1048E-06",0,0,0,0,0,0,package://gearland/meshes/link9.STL,"0,62745","0,62745","0,62745",1,0,0,0,0,0,0,package://gearland/meshes/link9.STL,,joint_superior_urdf.stp-2,Origin_joint93,Eje9,joint9,revolute,"-0,13348","-0,13348","-0,032233","1,5708",0,"0,7854",base_link,0,0,1,200,3,"-1,05","1,05",,,,,,,,
